Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
0	0	120.443	99.9675	0	0	0	2999.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204.43	0	0	0	120.443	0	0	0	0	0	0	199.935	0	80.0945	3998.7	0	0	0	0	0	0	0	0	0
0.5	0	44.3104	29.3016	17.9365	0.000295558	3.10956	2767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.073	0	0	0	0	0	0	0	1.53863	0	2.09157	0.00104273	0	0	76.1324	51.1905	0	0	1204.43	0	0	0	118.316	0.0344071	0	0	0	0	0.0128567	198.672	1.25011	80.0945	3998.7	0	0	0	0	0	0	0	0	0
1	0	45.213	24.4744	31.3341	0.00430882	3.58638	2679.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195.691	0	0	0	0	0	0	0	2.76542	0	4.11182	0.00480662	0	0	75.2298	41.3893	0	0	1204.43	0	0	0	116.256	0.0697395	0	0	0	0	0.0921991	196.682	3.15671	80.0945	3998.7	0	0	0	0	0	0	0	0	0
1.5	0	46.0577	20.4621	42.4978	0.0157081	3.92911	2601.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280.412	0	0	0	0	0	0	0	3.42056	0	5.86164	0.00985793	0	0	74.3851	33.5713	0	0	1204.43	0	0	0	114.476	0.0952012	0	0	0	0	0.237394	194.861	4.82111	80.0945	3998.7	0	0	0	0	0	0	0	0	0
2	0	46.8462	17.1334	51.7755	0.0357254	4.21141	2530.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356.324	0	0	0	0	0	0	0	3.6949	0	7.38439	0.0153401	0	0	73.5966	27.328	0	0	1204.43	0	0	0	112.929	0.114085	0	0	0	0	0.434369	193.199	6.26599	80.0945	3998.7	0	0	0	0	0	0	0	0	0
2.5	0	47.5805	14.3806	59.4562	0.0639743	4.45098	2466.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424.383	0	0	0	0	0	0	0	3.72532	0	8.71485	0.0208369	0	0	72.8623	22.3414	0	0	1204.43	0	0	0	111.579	0.128554	0	0	0	0	0.669567	191.67	7.53113	80.0945	3998.7	0	0	0	0	0	0	0	0	0
3	0	48.2627	12.1142	65.7828	0.0992237	4.65891	2409.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485.432	0	0	0	0	0	0	0	3.60822	0	9.88136	0.0261502	0	0	72.1801	18.3631	0	0	1204.43	0	0	0	110.395	0.139978	0	0	0	0	0.93172	190.253	8.65101	80.0945	3998.7	0	0	0	0	0	0	0	0	0
3.5	0	48.8951	10.2586	70.962	0.139971	4.84273	2357.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540.219	0	0	0	0	0	0	0	3.41102	0	10.9072	0.0311883	0	0	71.5477	15.196	0	0	1204.43	0	0	0	109.355	0.149257	0	0	0	0	1.21217	188.929	9.65354	80.0945	3998.7	0	0	0	0	0	0	0	0	0
4	0	49.4804	8.74997	75.1699	0.184719	5.0076	2310.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589.406	0	0	0	0	0	0	0	3.17964	0	11.8118	0.0359194	0	0	70.9624	12.6833	0	0	1204.43	0	0	0	108.438	0.156986	0	0	0	0	1.50457	187.685	10.5606	80.0945	3998.7	0	0	0	0	0	0	0	0	0
4.5	0	50.021	7.53387	78.5576	0.232149	5.15724	2268.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633.58	0	0	0	0	0	0	0	2.94457	0	12.6113	0.0403389	0	0	70.4219	10.6994	0	0	1204.43	0	0	0	107.628	0.163573	0	0	0	0	1.80437	186.509	11.3892	80.0945	3998.7	0	0	0	0	0	0	0	0	0
5	0	50.5194	6.56396	81.2539	0.281167	5.29438	2230.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673.267	0	0	0	0	0	0	0	2.72527	0	13.3193	0.0444563	0	0	69.9234	9.14322	0	0	1204.43	0	0	0	106.91	0.1693	0	0	0	0	2.10833	185.393	12.1522	80.0945	3998.7	0	0	0	0	0	0	0	0	0
5.5	0	50.9783	5.80073	83.3695	0.330891	5.42106	2196.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708.933	0	0	0	0	0	0	0	2.53319	0	13.9476	0.0482885	0	0	69.4645	7.93322	0	0	1204.43	0	0	0	106.273	0.174366	0	0	0	0	2.41417	184.33	12.8597	80.0945	3998.7	0	0	0	0	0	0	0	0	0
6	0	51.4001	5.21053	84.9986	0.38064	5.53883	2165.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740.995	0	0	0	0	0	0	0	2.37435	0	14.5059	0.0518545	0	0	69.0427	7.00338	0	0	1204.43	0	0	0	105.706	0.178914	0	0	0	0	2.72026	183.314	13.5197	80.0945	3998.7	0	0	0	0	0	0	0	0	0
6.5	0	51.7874	4.76473	86.2217	0.429907	5.64891	2136.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769.824	0	0	0	0	0	0	0	2.25093	0	15.0028	0.0551735	0	0	68.6554	6.30025	0	0	1204.43	0	0	0	105.202	0.183048	0	0	0	0	3.02543	182.342	14.1382	80.0945	3998.7	0	0	0	0	0	0	0	0	0
7	0	52.1425	4.43905	87.1072	0.478307	5.75228	2111.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795.754	0	0	0	0	0	0	0	2.16262	0	15.4456	0.0582648	0	0	68.3003	5.7804	0	0	1204.43	0	0	0	104.752	0.186847	0	0	0	0	3.32884	181.408	14.7204	80.0945	3998.7	0	0	0	0	0	0	0	0	0
7.5	0	52.4678	4.21286	87.713	0.525581	5.84971	2088.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819.081	0	0	0	0	0	0	0	2.10755	0	15.8407	0.0611461	0	0	67.975	5.40858	0	0	1204.43	0	0	0	104.351	0.190367	0	0	0	0	3.62985	180.51	15.2701	80.0945	3998.7	0	0	0	0	0	0	0	0	0
8	0	52.7654	4.06876	88.0883	0.571547	5.94185	2067.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840.071	0	0	0	0	0	0	0	2.08289	0	16.1936	0.0638341	0	0	67.6774	5.15606	0	0	1204.43	0	0	0	103.992	0.193654	0	0	0	0	3.92801	179.645	15.7907	80.0945	3998.7	0	0	0	0	0	0	0	0	0
8.5	0	53.0375	3.99203	88.2746	0.616093	6.02923	2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	858.963	0	0	0	0	0	0	0	2.08533	0	16.5091	0.066344	0	0	67.4053	4.9995	0	0	1204.43	0	0	0	103.671	0.196741	0	0	0	0	4.22295	178.811	16.2851	80.0945	3998.7	0	0	0	0	0	0	0	0	0
9	0	53.2861	3.97029	88.3068	0.659158	6.11231	2032.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875.969	0	0	0	0	0	0	0	2.11141	0	16.7914	0.0686899	0	0	67.1568	4.91988	0	0	1204.43	0	0	0	103.383	0.199655	0	0	0	0	4.5144	178.006	16.7555	80.0945	3998.7	0	0	0	0	0	0	0	0	0
9.5	0	53.5129	3.99315	88.2143	0.700716	6.19146	2016.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	891.281	0	0	0	0	0	0	0	2.15774	0	17.0442	0.0708847	0	0	66.9299	4.90168	0	0	1204.43	0	0	0	103.125	0.202418	0	0	0	0	4.80217	177.228	17.204	80.0945	3998.7	0	0	0	0	0	0	0	0	0
10	0	53.7198	4.0519	88.0215	0.740775	6.26702	2002.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905.069	0	0	0	0	0	0	0	2.22106	0	17.2707	0.0729402	0	0	66.723	4.93229	0	0	1204.43	0	0	0	102.894	0.205046	0	0	0	0	5.08607	176.476	17.6322	80.0945	3998.7	0	0	0	0	0	0	0	0	0
10.5	0	53.9084	4.13926	87.7491	0.779361	6.33926	1990.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917.488	0	0	0	0	0	0	0	2.29839	0	17.4738	0.0748672	0	0	66.5344	5.00143	0	0	1204.43	0	0	0	102.687	0.207553	0	0	0	0	5.36601	175.748	18.0417	80.0945	3998.7	0	0	0	0	0	0	0	0	0
11	0	54.0803	4.24917	87.4141	0.816513	6.40844	1978.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928.674	0	0	0	0	0	0	0	2.38705	0	17.656	0.0766756	0	0	66.3625	5.10074	0	0	1204.43	0	0	0	102.5	0.209952	0	0	0	0	5.64187	175.043	18.4338	80.0945	3998.7	0	0	0	0	0	0	0	0	0
11.5	0	54.2368	4.37661	87.0306	0.85228	6.47478	1968.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938.752	0	0	0	0	0	0	0	2.48466	0	17.8196	0.0783743	0	0	66.206	5.22341	0	0	1204.43	0	0	0	102.333	0.212251	0	0	0	0	5.9136	174.359	18.8097	80.0945	3998.7	0	0	0	0	0	0	0	0	0
12	0	54.3793	4.51741	86.6104	0.886718	6.53847	1959.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947.832	0	0	0	0	0	0	0	2.58912	0	17.9664	0.0799718	0	0	66.0635	5.36393	0	0	1204.43	0	0	0	102.182	0.214458	0	0	0	0	6.18114	173.697	19.1705	80.0945	3998.7	0	0	0	0	0	0	0	0	0
12.5	0	54.5089	4.66816	86.163	0.919885	6.59968	1950.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956.014	0	0	0	0	0	0	0	2.69866	0	18.0984	0.0814755	0	0	65.9339	5.51782	0	0	1204.43	0	0	0	102.046	0.216581	0	0	0	0	6.44446	173.054	19.517	80.0945	3998.7	0	0	0	0	0	0	0	0	0
13	0	54.6269	4.82602	85.6965	0.951839	6.65858	1943.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963.388	0	0	0	0	0	0	0	2.81174	0	18.2169	0.0828926	0	0	65.8159	5.68147	0	0	1204.43	0	0	0	101.924	0.218626	0	0	0	0	6.70355	172.43	19.8501	80.0945	3998.7	0	0	0	0	0	0	0	0	0
13.5	0	54.7342	4.9887	85.2172	0.982642	6.7153	1936.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970.033	0	0	0	0	0	0	0	2.92707	0	18.3235	0.0842293	0	0	65.7086	5.85194	0	0	1204.43	0	0	0	101.814	0.220597	0	0	0	0	6.9584	171.823	20.1706	80.0945	3998.7	0	0	0	0	0	0	0	0	0
14	0	54.8318	5.15433	84.7304	1.01235	6.76997	1929.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976.022	0	0	0	0	0	0	0	3.04357	0	18.4194	0.0854916	0	0	65.611	6.0269	0	0	1204.43	0	0	0	101.715	0.2225	0	0	0	0	7.209	171.235	20.4792	80.0945	3998.7	0	0	0	0	0	0	0	0	0
14.5	0	54.9205	5.32139	84.2403	1.04101	6.8227	1924.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981.42	0	0	0	0	0	0	0	3.16036	0	18.5055	0.086685	0	0	65.5223	6.20446	0	0	1204.43	0	0	0	101.626	0.224338	0	0	0	0	7.45539	170.662	20.7765	80.0945	3998.7	0	0	0	0	0	0	0	0	0
15	0	55.0012	5.48867	83.7504	1.06869	6.87361	1918.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986.286	0	0	0	0	0	0	0	3.2767	0	18.5831	0.0878142	0	0	65.4416	6.38311	0	0	1204.43	0	0	0	101.546	0.226114	0	0	0	0	7.69757	170.106	21.0632	80.0945	3998.7	0	0	0	0	0	0	0	0	0
15.5	0	55.0746	5.6552	83.2632	1.09543	6.92279	1914.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990.672	0	0	0	0	0	0	0	3.39202	0	18.6528	0.0888841	0	0	65.3682	6.56168	0	0	1204.43	0	0	0	101.473	0.227833	0	0	0	0	7.93558	169.564	21.3398	80.0945	3998.7	0	0	0	0	0	0	0	0	0
16	0	55.1413	5.82021	82.781	1.12129	6.97033	1910.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	994.625	0	0	0	0	0	0	0	3.50585	0	18.7156	0.0898987	0	0	65.3016	6.73922	0	0	1204.43	0	0	0	101.408	0.229497	0	0	0	0	8.16944	169.038	21.6067	80.0945	3998.7	0	0	0	0	0	0	0	0	0
16.5	0	55.2019	5.98311	82.3053	1.14629	7.01631	1906.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998.188	0	0	0	0	0	0	0	3.61781	0	18.7721	0.0908619	0	0	65.2409	6.91499	0	0	1204.43	0	0	0	101.349	0.231109	0	0	0	0	8.3992	168.525	21.8645	80.0945	3998.7	0	0	0	0	0	0	0	0	0
17	0	55.257	6.14344	81.8375	1.17049	7.06081	1902.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001.4	0	0	0	0	0	0	0	3.72764	0	18.8229	0.0917773	0	0	65.1858	7.08844	0	0	1204.43	0	0	0	101.295	0.232671	0	0	0	0	8.6249	168.026	22.1137	80.0945	3998.7	0	0	0	0	0	0	0	0	0
17.5	0	55.3072	6.30086	81.3785	1.19392	7.1039	1899.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1004.29	0	0	0	0	0	0	0	3.83513	0	18.8686	0.0926482	0	0	65.1356	7.25914	0	0	1204.43	0	0	0	101.247	0.234186	0	0	0	0	8.84657	167.54	22.3545	80.0945	3998.7	0	0	0	0	0	0	0	0	0
18	0	55.3528	6.45511	80.9289	1.21662	7.14564	1896.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006.9	0	0	0	0	0	0	0	3.94013	0	18.9098	0.0934776	0	0	65.09	7.42676	0	0	1204.43	0	0	0	101.204	0.235655	0	0	0	0	9.06428	167.067	22.5874	80.0945	3998.7	0	0	0	0	0	0	0	0	0
18.5	0	55.3943	6.60601	80.4893	1.23862	7.1861	1894.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009.25	0	0	0	0	0	0	0	4.04253	0	18.9468	0.0942684	0	0	65.0485	7.59107	0	0	1204.43	0	0	0	101.165	0.237081	0	0	0	0	9.27807	166.606	22.8128	80.0945	3998.7	0	0	0	0	0	0	0	0	0
19	0	55.4321	6.75344	80.0599	1.25996	7.22534	1891.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011.37	0	0	0	0	0	0	0	4.14229	0	18.9801	0.095023	0	0	65.0108	7.75192	0	0	1204.43	0	0	0	101.129	0.238466	0	0	0	0	9.48798	166.156	23.031	80.0945	3998.7	0	0	0	0	0	0	0	0	0
19.5	0	55.4664	6.89733	79.641	1.28065	7.26341	1889.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013.28	0	0	0	0	0	0	0	4.23936	0	19.0101	0.0957438	0	0	64.9764	7.90919	0	0	1204.43	0	0	0	101.097	0.23981	0	0	0	0	9.69408	165.718	23.2423	80.0945	3998.7	0	0	0	0	0	0	0	0	0
20	0	55.4977	7.03766	79.2326	1.30074	7.30035	1887.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	0	4.33374	0	19.0371	0.0964331	0	0	64.9451	8.06282	0	0	1204.43	0	0	0	101.068	0.241117	0	0	0	0	9.89643	165.291	23.4469	80.0945	3998.7	0	0	0	0	0	0	0	0	0
20.5	0	55.5262	7.17442	78.8346	1.32024	7.33622	1885.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016.55	0	0	0	0	0	0	0	4.42547	0	19.0613	0.0970929	0	0	64.9166	8.2128	0	0	1204.43	0	0	0	101.042	0.242386	0	0	0	0	10.0951	164.874	23.6453	80.0945	3998.7	0	0	0	0	0	0	0	0	0
21	0	55.5522	7.30763	78.4471	1.33918	7.37106	1884.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017.94	0	0	0	0	0	0	0	4.51456	0	19.0831	0.097725	0	0	64.8906	8.35912	0	0	1204.43	0	0	0	101.018	0.24362	0	0	0	0	10.2901	164.468	23.8376	80.0945	3998.7	0	0	0	0	0	0	0	0	0
21.5	0	55.5759	7.43733	78.0698	1.35758	7.40491	1882.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1019.2	0	0	0	0	0	0	0	4.60106	0	19.1027	0.0983311	0	0	64.867	8.50181	0	0	1204.43	0	0	0	100.997	0.24482	0	0	0	0	10.4815	164.072	24.0241	80.0945	3998.7	0	0	0	0	0	0	0	0	0
22	0	55.5975	7.56359	77.7025	1.37547	7.43781	1881.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020.33	0	0	0	0	0	0	0	4.68503	0	19.1204	0.0989129	0	0	64.8454	8.64091	0	0	1204.43	0	0	0	100.978	0.245988	0	0	0	0	10.6693	163.685	24.205	80.0945	3998.7	0	0	0	0	0	0	0	0	0
22.5	0	55.6172	7.68647	77.3452	1.39285	7.4698	1880.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1021.35	0	0	0	0	0	0	0	4.76653	0	19.1362	0.0994718	0	0	64.8257	8.77648	0	0	1204.43	0	0	0	100.96	0.247123	0	0	0	0	10.8537	163.308	24.3805	80.0945	3998.7	0	0	0	0	0	0	0	0	0
23	0	55.6351	7.80603	76.9975	1.40975	7.50091	1878.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1022.26	0	0	0	0	0	0	0	4.84563	0	19.1504	0.100009	0	0	64.8077	8.90859	0	0	1204.43	0	0	0	100.944	0.248228	0	0	0	0	11.0347	162.94	24.5509	80.0945	3998.7	0	0	0	0	0	0	0	0	0
23.5	0	55.6516	7.92237	76.6593	1.42619	7.53118	1877.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1023.08	0	0	0	0	0	0	0	4.92239	0	19.1632	0.100526	0	0	64.7912	9.03729	0	0	1204.43	0	0	0	100.93	0.249304	0	0	0	0	11.2123	162.58	24.7164	80.0945	3998.7	0	0	0	0	0	0	0	0	0
24	0	55.6666	8.03556	76.3302	1.44219	7.56063	1876.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1023.82	0	0	0	0	0	0	0	4.99689	0	19.1747	0.101024	0	0	64.7762	9.16268	0	0	1204.43	0	0	0	100.917	0.250352	0	0	0	0	11.3866	162.229	24.8771	80.0945	3998.7	0	0	0	0	0	0	0	0	0
24.5	0	55.6803	8.14569	76.0101	1.45775	7.5893	1876.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1024.49	0	0	0	0	0	0	0	5.0692	0	19.1849	0.101504	0	0	64.7625	9.28482	0	0	1204.43	0	0	0	100.905	0.251372	0	0	0	0	11.5576	161.886	25.0332	80.0945	3998.7	0	0	0	0	0	0	0	0	0
25	0	55.6929	8.25285	75.6986	1.4729	7.61722	1875.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1025.09	0	0	0	0	0	0	0	5.13939	0	19.1942	0.101967	0	0	64.7499	9.40381	0	0	1204.43	0	0	0	100.894	0.252365	0	0	0	0	11.7255	161.552	25.1849	80.0945	3998.7	0	0	0	0	0	0	0	0	0
25.5	0	55.7044	8.35712	75.3955	1.48765	7.6444	1874.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1025.62	0	0	0	0	0	0	0	5.20753	0	19.2024	0.102414	0	0	64.7384	9.51972	0	0	1204.43	0	0	0	100.885	0.253333	0	0	0	0	11.8902	161.225	25.3324	80.0945	3998.7	0	0	0	0	0	0	0	0	0
26	0	55.715	8.45858	75.1006	1.50201	7.67088	1873.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026.1	0	0	0	0	0	0	0	5.2737	0	19.2098	0.102846	0	0	64.7278	9.63264	0	0	1204.43	0	0	0	100.876	0.254277	0	0	0	0	12.0519	160.905	25.4758	80.0945	3998.7	0	0	0	0	0	0	0	0	0
26.5	0	55.7247	8.55734	74.8136	1.516	7.69668	1873.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026.54	0	0	0	0	0	0	0	5.33796	0	19.2164	0.103263	0	0	64.7181	9.74266	0	0	1204.43	0	0	0	100.868	0.255196	0	0	0	0	12.2105	160.593	25.6152	80.0945	3998.7	0	0	0	0	0	0	0	0	0
27	0	55.7336	8.65346	74.5342	1.52962	7.72182	1872.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026.92	0	0	0	0	0	0	0	5.40038	0	19.2223	0.103666	0	0	64.7092	9.84984	0	0	1204.43	0	0	0	100.861	0.256092	0	0	0	0	12.3661	160.288	25.7508	80.0945	3998.7	0	0	0	0	0	0	0	0	0
27.5	0	55.7418	8.74702	74.2623	1.5429	7.74633	1872.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1027.27	0	0	0	0	0	0	0	5.46102	0	19.2276	0.104057	0	0	64.701	9.95427	0	0	1204.43	0	0	0	100.854	0.256965	0	0	0	0	12.5189	159.991	25.8828	80.0945	3998.7	0	0	0	0	0	0	0	0	0
28	0	55.7493	8.83812	73.9976	1.55583	7.77023	1871.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1027.58	0	0	0	0	0	0	0	5.51995	0	19.2323	0.104435	0	0	64.6935	10.056	0	0	1204.43	0	0	0	100.848	0.257817	0	0	0	0	12.6687	159.699	26.0112	80.0945	3998.7	0	0	0	0	0	0	0	0	0
28.5	0	55.7563	8.92682	73.7399	1.56843	7.79353	1871.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1027.86	0	0	0	0	0	0	0	5.57722	0	19.2365	0.104802	0	0	64.6866	10.1552	0	0	1204.43	0	0	0	100.843	0.258648	0	0	0	0	12.8158	159.415	26.1362	80.0945	3998.7	0	0	0	0	0	0	0	0	0
29	0	55.7627	9.0132	73.4889	1.58072	7.81623	1871.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028.11	0	0	0	0	0	0	0	5.6329	0	19.2403	0.105157	0	0	64.6802	10.2519	0	0	1204.43	0	0	0	100.838	0.259458	0	0	0	0	12.96	159.136	26.2578	80.0945	3998.7	0	0	0	0	0	0	0	0	0
29.5	0	55.7686	9.09733	73.2444	1.5927	7.83841	1870.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028.33	0	0	0	0	0	0	0	5.68704	0	19.2436	0.105501	0	0	64.6742	10.3461	0	0	1204.43	0	0	0	100.833	0.260249	0	0	0	0	13.1016	158.864	26.3763	80.0945	3998.7	0	0	0	0	0	0	0	0	0
