,cAMP_on,free_Ca2+,all_Ca2+,PKAa?,CDK5!_,CK1u~?,PP2Ap~?,PP2Aca_!,PP2C!_,PP2Ba~?,PDEp~?,DARPP_unphosph~?,D34*~?,D75*~?,D137*~?,cAMP,free_Ca,Ca*,PKA,_CDK5,CK1u,PP2AP,PP2A*Ca,_PP2C,PP2Bactive,PDEP,D,T34,T75,S137
0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9675,0.0,0.0,0.0,0.0,0.0,2999.03,0.0,0.0,0.0
1,0.0,3.0,7.0,0.0,82.0,81.0,0.0,0.0,5.0,0.0,0.0,2822.0,0.0,95.0,86.0,0.0,3.1451192935,4.3951792935,0.0,76.14888,80.02575,0.0,0.0354492935,4.485465,0.013155695,0.0,2702.69,0.0,104.745958493,73.6650421835
2,0.0,3.0,13.0,0.0,83.0,70.0,0.0,0.0,11.0,0.0,0.0,2656.0,0.0,205.0,157.0,0.0,3.660886053,6.817476053,0.0,75.20988,64.93376,0.0,0.074546053,8.661811,0.09659644,0.0,2560.43,0.0,202.610698053,136.716415763
3,0.0,2.0,18.0,0.0,80.0,58.0,0.0,0.0,18.0,0.0,0.0,2521.0,0.0,294.0,208.0,0.0,4.033886854,8.854366854,0.0,74.33658,52.60041,0.0,0.105056854,11.709268,0.2535445,0.0,2440.9,0.0,289.711118854,187.459180474
4,0.0,5.0,21.0,0.0,79.0,45.0,0.0,0.0,16.0,0.0,0.0,2398.0,0.0,378.0,261.0,0.0,4.34020629,10.60443629,0.0,73.52467,42.58782,0.0,0.12941629,13.98235,0.471288,0.0,2339.7,0.0,367.39299129,228.29962439
5,0.0,1.0,26.0,0.0,75.0,32.0,0.0,1.0,14.0,0.0,0.0,2306.0,0.0,452.0,292.0,0.0,4.59931682,12.12698682,0.0,72.77057,34.51717,0.0,0.14936682,15.70807,0.7358602,0.0,2253.37,0.0,436.79365382,261.20880572
6,0.0,2.0,32.0,0.0,67.0,28.0,0.0,0.0,16.0,0.0,0.0,2218.0,0.0,518.0,320.0,0.0,4.82358495,13.46909495,0.0,72.07128,28.06258,0.0,0.16608495,17.03848,1.034647,0.0,2179.22,0.0,498.88761795,287.80231775
7,0.0,1.0,41.0,0.0,71.0,21.0,0.0,0.0,22.0,2.0,0.0,2155.0,0.0,558.0,350.0,0.0,5.02133878,14.66726878,0.0,71.42373,22.94587,0.0,0.18037878,18.07874,1.357328,0.0,2115.08,0.0,554.51435378,309.39597548
8,0.0,4.0,40.0,0.0,82.0,15.0,0.0,0.0,21.0,0.0,0.0,2087.0,0.0,617.0,368.0,0.0,5.19837478,15.74947478,0.0,70.82509,18.93026,0.0,0.19281478,18.90431,1.695925,0.0,2059.23,0.0,604.40057378,327.06424128
9,0.0,2.0,42.0,0.0,65.0,11.0,0.0,0.0,21.0,0.0,0.0,2028.0,0.0,672.0,378.0,0.0,5.35882667,16.73682667,0.0,70.27268,15.81637,0.0,0.20379667,19.56994,2.044448,0.0,2010.29,0.0,649.18208267,341.68039027
10,0.0,4.0,48.0,0.0,78.0,10.0,0.0,0.0,22.0,0.0,0.0,1982.0,0.0,707.0,395.0,0.0,5.50569706,17.64559706,0.0,69.76355,13.43719,0.0,0.21361706,20.11688,2.398527,0.0,1967.15,0.0,689.41489106,353.95018576
11,0.0,3.0,57.0,0.0,70.0,7.0,0.0,0.0,19.0,0.0,0.0,1941.0,0.0,743.0,407.0,0.0,5.64122509,18.48792509,0.0,69.29499,11.65368,0.0,0.22249509,20.57603,2.754964,0.0,1928.87,0.0,725.58512609,364.44542519
12,0.0,1.0,63.0,0.0,73.0,6.0,0.0,0.0,19.0,0.0,0.0,1901.0,0.0,782.0,412.0,0.0,5.76712095,19.27342095,0.0,68.86443,10.35071,0.0,0.23059095,20.97097,3.111467,0.0,1894.72,0.0,758.12529695,373.62504865
13,0.0,3.0,61.0,0.0,62.0,5.0,0.0,0.0,32.0,1.0,0.0,1885.0,0.0,807.0,414.0,0.0,5.88471946,20.00951946,0.0,68.46922,9.43354,0.0,0.23802946,21.31981,3.466384,0.0,1864.07,0.0,787.41465346,381.85721786
14,0.0,6.0,68.0,0.0,75.0,4.0,0.0,0.0,26.0,1.0,0.0,1878.0,0.0,819.0,420.0,0.0,5.9950663,20.7022663,0.0,68.10675,8.8245,0.0,0.2449063,21.63654,3.818513,0.0,1836.41,0.0,813.7915643,389.4362854
15,0.0,0.0,72.0,0.0,67.0,4.0,0.0,0.0,22.0,0.0,0.0,1873.0,0.0,822.0,421.0,0.0,6.09899739,21.35629739,0.0,67.77486,8.46014,0.0,0.25129739,21.93186,4.167022,0.0,1811.31,0.0,837.55652739,396.59345429
16,0.0,6.0,74.0,0.0,67.0,3.0,0.0,0.0,27.0,0.0,0.0,1829.0,0.0,871.0,426.0,0.0,6.19722401,21.97562401,0.0,67.47095,8.28889,0.0,0.25726401,22.21408,4.511299,0.0,1788.41,0.0,858.97676901,403.51517761
17,0.0,9.0,77.0,0.0,64.0,1.0,0.0,0.0,18.0,1.0,0.0,1809.0,0.0,890.0,428.0,0.0,6.2903043,22.5636043,0.0,67.19313,8.26894,0.0,0.2628543,22.48943,4.850901,0.0,1767.4,0.0,878.2898143,410.3451884
18,0.0,4.0,82.0,0.0,63.0,1.0,0.0,0.0,27.0,2.0,0.0,1796.0,0.0,906.0,428.0,0.0,6.37871818,23.12281818,0.0,66.93914,8.36651,0.0,0.26810818,22.76259,5.185533,0.0,1748.03,0.0,895.70948718,417.19546948
19,0.0,5.0,87.0,0.0,60.0,2.0,0.0,0.0,22.0,1.0,0.0,1790.0,0.0,908.0,432.0,0.0,6.46290109,23.65590109,0.0,66.70722,8.55438,0.0,0.27306109,23.03724,5.514993,0.0,1730.06,0.0,911.42398009,424.15029339
20,0.0,4.0,86.0,0.0,70.0,2.0,0.0,0.0,24.0,1.0,0.0,1778.0,0.0,921.0,433.0,0.0,6.54317973,24.16467973,0.0,66.4954,8.81073,0.0,0.27773973,23.31574,5.839133,0.0,1713.32,0.0,925.60634473,431.27896243
21,0.0,7.0,91.0,0.0,64.0,3.0,0.0,0.0,27.0,0.0,0.0,1758.0,0.0,945.0,434.0,0.0,6.6198896,24.6510896,0.0,66.30216,9.11808,0.0,0.2821696,23.60009,6.157892,0.0,1697.63,0.0,938.4081916,438.6269786
22,0.0,0.0,96.0,0.0,72.0,3.0,0.0,0.0,24.0,0.0,0.0,1763.0,0.0,942.0,436.0,0.0,6.6932815,25.1166815,0.0,66.12577,9.46252,0.0,0.2863715,23.89145,6.471199,0.0,1682.87,0.0,949.9661905,446.2316136
23,0.0,3.0,99.0,0.0,63.0,3.0,0.0,0.0,22.0,1.0,0.0,1757.0,0.0,942.0,439.0,0.0,6.7635854,25.5627854,0.0,65.96487,9.83297,0.0,0.2903654,24.19047,6.779053,0.0,1668.9,0.0,960.4044404,454.118299
24,0.0,3.0,101.0,0.0,55.0,3.0,0.0,0.0,28.0,2.0,0.0,1755.0,0.0,934.0,441.0,0.0,6.831055,25.990855,0.0,65.81812,10.22069,0.0,0.294165,24.49765,7.081472,0.0,1655.62,0.0,969.832469,462.3030959
25,0.0,3.0,101.0,0.0,68.0,3.0,0.0,0.0,17.0,3.0,0.0,1733.0,0.0,953.0,444.0,0.0,6.8958363,26.4017363,0.0,65.68434,10.61878,0.0,0.2977863,24.81301,7.37848,0.0,1642.94,0.0,978.3502243,470.7963654
26,0.0,2.0,105.0,0.0,72.0,2.0,0.0,1.0,21.0,3.0,0.0,1729.0,0.0,955.0,447.0,0.0,6.958121,26.796721,0.0,65.5623,11.02185,0.0,0.301241,25.13636,7.670113,0.0,1630.78,0.0,986.046903,479.6021684
27,0.0,3.0,105.0,0.0,67.0,2.0,0.0,0.0,27.0,3.0,0.0,1711.0,0.0,975.0,448.0,0.0,7.0180526,27.1766526,0.0,65.451,11.42568,0.0,0.3045426,25.4676,7.95642,0.0,1619.07,0.0,993.0024816,488.7223557
28,0.0,6.0,106.0,0.0,63.0,2.0,0.0,0.0,19.0,1.0,0.0,1700.0,0.0,989.0,449.0,0.0,7.0757906,27.5423906,0.0,65.3494,11.82708,0.0,0.3077006,25.80613,8.23747,0.0,1607.74,0.0,999.2909856,498.1554076
29,0.0,6.0,110.0,0.0,57.0,3.0,0.0,0.0,23.0,1.0,0.0,1696.0,0.0,994.0,453.0,0.0,7.1314436,27.8946436,0.0,65.2567,12.22354,0.0,0.3107236,26.15151,8.51332,0.0,1596.75,0.0,1004.9750506,507.8938548
30,0.0,2.0,114.0,0.0,59.0,4.0,0.0,0.0,24.0,2.0,0.0,1687.0,0.0,1003.0,457.0,0.0,7.1851316,28.2342316,0.0,65.172,12.6132,0.0,0.3136216,26.50321,8.78404,0.0,1586.04,0.0,1010.1156616,517.9338375
31,0.0,1.0,121.0,0.0,73.0,4.0,0.0,0.0,21.0,0.0,0.0,1687.0,0.0,1013.0,459.0,0.0,7.236962,28.561762,0.0,65.0948,12.99469,0.0,0.316402,26.86067,9.04972,0.0,1575.58,0.0,1014.764433,528.2668361
32,0.0,5.0,123.0,0.0,64.0,3.0,0.0,0.0,21.0,2.0,0.0,1670.0,0.0,1030.0,460.0,0.0,7.2870422,28.8778422,0.0,65.0243,13.36701,0.0,0.3190722,27.22328,9.31042,0.0,1565.33,0.0,1018.9700992,538.8828707
33,0.0,6.0,131.0,0.0,66.0,4.0,0.0,1.0,23.0,4.0,0.0,1681.0,0.0,1017.0,462.0,0.0,7.3354578,29.1830578,0.0,64.9598,13.72944,0.0,0.3216378,27.5904,9.56621,0.0,1555.25,0.0,1022.7753838,549.7741113
34,0.0,5.0,135.0,0.0,64.0,4.0,0.0,2.0,24.0,4.0,0.0,1665.0,0.0,1024.0,464.0,0.0,7.3822756,29.4780756,0.0,64.9008,14.0815,0.0,0.3241056,27.96147,9.81721,0.0,1545.32,0.0,1026.2187506,560.9306982
35,0.0,5.0,141.0,0.0,64.0,4.0,0.0,2.0,20.0,3.0,0.0,1660.0,0.0,1031.0,468.0,0.0,7.4276108,29.7631108,0.0,64.8468,14.42294,0.0,0.3264808,28.3358,10.06344,0.0,1535.52,0.0,1029.3357928,572.3397613
36,0.0,5.0,143.0,0.0,65.0,3.0,0.0,0.0,18.0,4.0,0.0,1681.0,0.0,1018.0,469.0,0.0,7.4714596,30.0388596,0.0,64.7975,14.75361,0.0,0.3287696,28.71282,10.30504,0.0,1525.83,0.0,1032.1579836,583.9933907
37,0.0,3.0,147.0,0.0,64.0,2.0,0.0,0.0,26.0,1.0,0.0,1673.0,0.0,1024.0,471.0,0.0,7.5140064,30.3057064,0.0,64.7522,15.07347,0.0,0.3309764,29.092,10.54205,0.0,1516.22,0.0,1034.7128054,595.8797561
38,0.0,4.0,140.0,0.0,69.0,3.0,0.0,0.0,26.0,3.0,0.0,1661.0,0.0,1040.0,473.0,0.0,7.5552452,30.5639452,0.0,64.7108,15.38258,0.0,0.3331052,29.4728,10.77456,0.0,1506.68,0.0,1037.0267312,607.9881977
39,0.0,3.0,145.0,0.0,63.0,3.0,0.0,0.0,23.0,4.0,0.0,1656.0,0.0,1049.0,475.0,0.0,7.5952002,30.8141002,0.0,64.6726,15.68104,0.0,0.3351602,29.8548,11.00266,0.0,1497.19,0.0,1039.1230632,620.3087753
40,0.0,5.0,143.0,0.0,67.0,4.0,0.0,0.0,22.0,2.0,0.0,1657.0,0.0,1049.0,478.0,0.0,7.6339846,31.0563846,0.0,64.6376,15.96904,0.0,0.3371446,30.2373,11.22642,0.0,1487.75,0.0,1041.0232236,632.8326487
41,0.0,6.0,146.0,0.0,60.0,5.0,0.0,0.0,30.0,2.0,0.0,1651.0,0.0,1050.0,483.0,0.0,7.6716234,31.2913234,0.0,64.6055,16.24677,0.0,0.3390634,30.6201,11.44594,0.0,1478.34,0.0,1042.7456444,645.5483878
42,0.0,4.0,148.0,0.0,66.0,6.0,0.0,0.0,31.0,3.0,0.0,1639.0,0.0,1051.0,488.0,0.0,7.7081686,31.5189686,0.0,64.5759,16.51444,0.0,0.3409186,31.0025,11.66124,0.0,1468.96,0.0,1044.3073776,658.4458826
43,0.0,6.0,156.0,0.0,70.0,5.0,0.0,0.0,22.0,4.0,0.0,1645.0,0.0,1042.0,490.0,0.0,7.7436749,31.7397749,0.0,64.5485,16.77233,0.0,0.3427149,31.3843,11.87254,0.0,1459.6,0.0,1045.7228649,671.5157828
44,0.0,3.0,155.0,0.0,62.0,3.0,0.0,0.0,30.0,3.0,0.0,1639.0,0.0,1053.0,490.0,0.0,7.7781729,31.9540729,0.0,64.5234,17.02065,0.0,0.3444529,31.7652,12.07975,0.0,1450.24,0.0,1047.0084279,684.7505582
45,0.0,7.0,157.0,0.0,73.0,5.0,0.0,0.0,22.0,2.0,0.0,1636.0,0.0,1045.0,494.0,0.0,7.8116969,32.1619969,0.0,64.5002,17.2597,0.0,0.3461369,32.1445,12.28301,0.0,1440.89,0.0,1048.1752379,698.1381787
46,0.0,6.0,163.0,0.0,66.0,6.0,0.0,1.0,26.0,4.0,0.0,1617.0,0.0,1067.0,499.0,0.0,7.8442986,32.3638986,0.0,64.4787,17.48973,0.0,0.3477686,32.5222,12.48242,0.0,1431.55,0.0,1049.2345266,711.6715041
47,0.0,6.0,163.0,0.0,52.0,6.0,0.0,1.0,28.0,3.0,0.0,1613.0,0.0,1062.0,502.0,0.0,7.876012,32.559912,0.0,64.4588,17.711,0.0,0.349352,32.898,12.678,0.0,1422.2,0.0,1050.195525,725.3408042
48,0.0,5.0,166.0,0.0,59.0,6.0,0.0,1.0,26.0,3.0,0.0,1619.0,0.0,1054.0,506.0,0.0,7.9068564,32.7503564,0.0,64.4404,17.92377,0.0,0.3508864,33.2714,12.86986,0.0,1412.85,0.0,1051.0693944,739.1395489
49,0.0,4.0,171.0,0.0,65.0,7.0,0.0,1.0,24.0,8.0,0.0,1627.0,0.0,1045.0,512.0,0.0,7.9368768,32.9353768,0.0,64.4232,18.12832,0.0,0.3523768,33.6424,13.05812,0.0,1403.49,0.0,1051.8644658,753.0573978
50,0.0,8.0,171.0,0.0,80.0,10.0,0.0,1.0,28.0,5.0,0.0,1612.0,0.0,1053.0,516.0,0.0,7.9661023,33.1152023,0.0,64.4073,18.32487,0.0,0.3538223,34.0106,13.24269,0.0,1394.12,0.0,1052.5876803,767.0888209
51,0.0,5.0,179.0,0.0,58.0,11.0,0.0,0.0,26.0,0.0,0.0,1602.0,0.0,1061.0,522.0,0.0,7.9945577,33.2899577,0.0,64.3926,18.5137,0.0,0.3552277,34.376,13.42389,0.0,1384.74,0.0,1053.2453687,781.2255779
52,0.0,3.0,176.0,0.0,60.0,9.0,0.0,1.0,24.0,6.0,0.0,1579.0,0.0,1078.0,531.0,0.0,8.0222722,33.4599722,0.0,64.3787,18.69505,0.0,0.3565922,34.7381,13.60152,0.0,1375.35,0.0,1053.8434722,795.4578387
53,0.0,9.0,176.0,0.0,73.0,10.0,0.0,1.0,23.0,3.0,0.0,1572.0,0.0,1080.0,539.0,0.0,8.0492691,33.6252691,0.0,64.3658,18.86915,0.0,0.3579191,35.097,13.7759,0.0,1365.96,0.0,1054.3894311,809.7816729
54,0.0,7.0,177.0,0.0,66.0,11.0,0.0,0.0,32.0,6.0,0.0,1577.0,0.0,1075.0,545.0,0.0,8.0755685,33.7860685,0.0,64.3538,19.03622,0.0,0.3592085,35.4525,13.94683,0.0,1356.55,0.0,1054.8872665,824.1896405
55,0.0,4.0,185.0,0.0,68.0,10.0,0.0,1.0,35.0,3.0,0.0,1605.0,0.0,1040.0,549.0,0.0,8.1012132,33.9426132,0.0,64.3425,19.1965,0.0,0.3604632,35.8044,14.11464,0.0,1347.13,0.0,1055.3409192,838.6733213
56,0.0,6.0,186.0,0.0,73.0,6.0,0.0,0.0,34.0,6.0,0.0,1595.0,0.0,1049.0,557.0,0.0,8.1261944,34.0948944,0.0,64.3319,19.35021,0.0,0.3616844,36.1526,14.27923,0.0,1337.69,0.0,1055.7558094,853.2284649
57,0.0,4.0,186.0,0.0,58.0,3.0,0.0,0.0,31.0,5.0,0.0,1590.0,0.0,1042.0,562.0,0.0,8.150562,34.243162,0.0,64.322,19.49755,0.0,0.362872,36.4969,14.44061,0.0,1328.26,0.0,1056.134768,867.8476513
58,0.0,6.0,186.0,0.0,75.0,5.0,0.0,0.0,21.0,5.0,0.0,1578.0,0.0,1062.0,565.0,0.0,8.1743287,34.3875287,0.0,64.3126,19.63873,0.0,0.3640287,36.8374,14.59898,0.0,1318.81,0.0,1056.4800157,882.5248503
59,0.0,3.0,187.0,0.0,58.0,5.0,0.0,0.0,25.0,3.0,0.0,1568.0,0.0,1065.0,568.0,0.0,8.1975047,34.5281047,0.0,64.3039,19.77394,0.0,0.3651547,37.174,14.75437,0.0,1309.35,0.0,1056.7967927,897.2548316
60,0.0,5.0,189.0,0.0,64.0,5.0,0.0,0.0,28.0,6.0,0.0,1572.0,0.0,1057.0,572.0,0.0,8.2201007,34.6650007,0.0,64.2956,19.90343,0.0,0.3662507,37.5066,14.90687,0.0,1299.89,0.0,1057.0860097,912.0302651
61,0.0,9.0,197.0,0.0,68.0,6.0,0.0,0.0,30.0,2.0,0.0,1576.0,0.0,1039.0,575.0,0.0,8.2421401,34.7983401,0.0,64.2878,20.02724,0.0,0.3673201,37.835,15.05639,0.0,1290.43,0.0,1057.3517871,926.8468206
62,0.0,8.0,200.0,0.0,72.0,5.0,0.0,0.0,31.0,2.0,0.0,1585.0,0.0,1033.0,579.0,0.0,8.2636912,34.9283912,0.0,64.2803,20.14571,0.0,0.3683612,38.1593,15.20315,0.0,1280.96,0.0,1057.5952552,941.7003678
63,0.0,5.0,198.0,0.0,64.0,5.0,0.0,1.0,27.0,8.0,0.0,1577.0,0.0,1033.0,586.0,0.0,8.2847457,35.0550457,0.0,64.2733,20.25895,0.0,0.3693757,38.4794,15.34704,0.0,1271.49,0.0,1057.8195347,956.5848867
64,0.0,5.0,196.0,0.0,68.0,5.0,0.0,1.0,21.0,4.0,0.0,1565.0,0.0,1036.0,594.0,0.0,8.3051857,35.1783857,0.0,64.2666,20.36707,0.0,0.3703657,38.7953,15.48839,0.0,1262.01,0.0,1058.0246357,971.493937
65,0.0,5.0,197.0,0.0,54.0,8.0,0.0,0.0,29.0,6.0,0.0,1565.0,0.0,1027.0,599.0,0.0,8.3251806,35.2986806,0.0,64.2603,20.47027,0.0,0.3713306,39.1071,15.62699,0.0,1252.54,0.0,1058.2136786,986.4258086
66,0.0,5.0,201.0,0.0,70.0,6.0,0.0,0.0,32.0,7.0,0.0,1573.0,0.0,1026.0,604.0,0.0,8.3447518,35.4160518,0.0,64.2542,20.56878,0.0,0.3722718,39.4145,15.76284,0.0,1243.08,0.0,1058.3877838,1001.3737612
67,0.0,7.0,205.0,0.0,56.0,6.0,0.0,0.0,24.0,10.0,0.0,1559.0,0.0,1038.0,607.0,0.0,8.3638497,35.5304497,0.0,64.2485,20.66268,0.0,0.3731897,39.7178,15.89627,0.0,1233.61,0.0,1058.5489717,1016.3341848
68,0.0,6.0,208.0,0.0,70.0,8.0,0.0,0.0,33.0,10.0,0.0,1554.0,0.0,1037.0,618.0,0.0,8.3824964,35.6419964,0.0,64.243,20.75217,0.0,0.3740864,40.0168,16.02717,0.0,1224.16,0.0,1058.6972324,1031.3016392
69,0.0,7.0,214.0,0.0,68.0,10.0,0.0,1.0,29.0,8.0,0.0,1571.0,0.0,1023.0,625.0,0.0,8.4007103,35.7509103,0.0,64.2378,20.83727,0.0,0.3749603,40.3116,16.15555,0.0,1214.71,0.0,1058.8356063,1046.2742041
70,0.0,4.0,216.0,0.0,72.0,12.0,0.0,0.0,30.0,10.0,0.0,1551.0,0.0,1029.0,633.0,0.0,8.4185036,35.8570036,0.0,64.2329,20.91824,0.0,0.3758136,40.6022,16.28161,0.0,1205.27,0.0,1058.9625036,1061.2466695
71,0.0,7.0,221.0,0.0,64.0,12.0,0.0,0.0,38.0,9.0,0.0,1544.0,0.0,1034.0,643.0,0.0,8.4358876,35.9605876,0.0,64.2281,20.99521,0.0,0.3766476,40.8886,16.40526,0.0,1195.84,0.0,1059.0796446,1076.2140052
72,0.0,8.0,222.0,0.0,67.0,13.0,0.0,0.0,33.0,13.0,0.0,1568.0,0.0,1001.0,647.0,0.0,8.4528704,36.0616704,0.0,64.2235,21.06824,0.0,0.3774604,41.1707,16.52651,0.0,1186.42,0.0,1059.1892094,1091.174881
73,0.0,12.0,228.0,0.0,60.0,17.0,0.0,0.0,32.0,11.0,0.0,1556.0,0.0,1002.0,658.0,0.0,8.4694753,36.1602753,0.0,64.2191,21.13743,0.0,0.3782553,41.4487,16.64556,0.0,1177.02,0.0,1059.2911483,1106.1234867
74,0.0,7.0,229.0,0.0,68.0,18.0,0.0,0.0,29.0,8.0,0.0,1519.0,0.0,1023.0,678.0,0.0,8.4857006,36.2566006,0.0,64.2149,21.20305,0.0,0.3790306,41.7226,16.76242,0.0,1167.64,0.0,1059.3857516,1121.0578023
75,0.0,10.0,230.0,0.0,70.0,15.0,0.0,0.0,38.0,7.0,0.0,1507.0,0.0,1023.0,697.0,0.0,8.5015583,36.3505583,0.0,64.2109,21.26499,0.0,0.3797883,41.9924,16.87699,0.0,1158.27,0.0,1059.4728293,1135.9725976
76,0.0,4.0,232.0,0.0,71.0,15.0,0.0,0.0,37.0,14.0,0.0,1512.0,0.0,1013.0,709.0,0.0,8.5170588,36.4422588,0.0,64.207,21.32364,0.0,0.3805288,42.2581,16.98947,0.0,1148.92,0.0,1059.5556018,1150.8677525
77,0.0,10.0,234.0,0.0,66.0,14.0,0.0,0.0,36.0,6.0,0.0,1520.0,0.0,1001.0,720.0,0.0,8.5322221,36.5318221,0.0,64.2032,21.37895,0.0,0.3812521,42.5197,17.09987,0.0,1139.59,0.0,1059.6321791,1165.7372667
78,0.0,10.0,236.0,0.0,73.0,16.0,0.0,0.0,34.0,14.0,0.0,1500.0,0.0,1012.0,730.0,0.0,8.5470395,36.6192395,0.0,64.1997,21.43091,0.0,0.3819595,42.7773,17.2082,0.0,1130.28,0.0,1059.7042615,1180.5802003
79,0.0,10.0,236.0,0.0,73.0,15.0,0.0,0.0,30.0,10.0,0.0,1490.0,0.0,1008.0,742.0,0.0,8.5615401,36.7047401,0.0,64.1962,21.47991,0.0,0.3826501,43.031,17.31446,0.0,1121.0,0.0,1059.7723791,1195.392453
80,0.0,8.0,236.0,0.0,63.0,15.0,0.0,0.0,37.0,9.0,0.0,1494.0,0.0,1001.0,755.0,0.0,8.5757061,36.7881061,0.0,64.1929,21.52588,0.0,0.3833261,43.2807,17.41874,0.0,1111.74,0.0,1059.8342121,1210.1708948
81,0.0,5.0,227.0,0.0,66.0,20.0,0.0,0.0,34.0,10.0,0.0,1469.0,0.0,1014.0,774.0,0.0,8.5895765,36.8695765,0.0,64.1896,21.56881,0.0,0.3839865,43.5267,17.52116,0.0,1102.51,0.0,1059.8940905,1224.9147155
82,0.0,5.0,229.0,0.0,71.0,20.0,0.0,0.0,28.0,13.0,0.0,1454.0,0.0,1026.0,792.0,0.0,8.6031316,36.9491316,0.0,64.1865,21.60907,0.0,0.3846316,43.7687,17.62163,0.0,1093.3,0.0,1059.9498146,1239.620595
83,0.0,6.0,230.0,0.0,61.0,18.0,0.0,0.0,34.0,6.0,0.0,1446.0,0.0,1034.0,812.0,0.0,8.6163924,37.0268924,0.0,64.1835,21.6465,0.0,0.3852624,44.0069,17.72013,0.0,1084.13,0.0,1060.0034844,1254.2856232
84,0.0,6.0,228.0,0.0,69.0,17.0,0.0,0.0,36.0,11.0,0.0,1437.0,0.0,1035.0,822.0,0.0,8.6293702,37.1028702,0.0,64.1806,21.68129,0.0,0.3858802,44.2414,17.81688,0.0,1074.98,0.0,1060.0522302,1268.90588
85,0.0,4.0,232.0,0.0,54.0,17.0,0.0,0.0,29.0,11.0,0.0,1431.0,0.0,1030.0,834.0,0.0,8.6420629,37.1771629,0.0,64.1778,21.71348,0.0,0.3864829,44.4722,17.91188,0.0,1065.87,0.0,1060.0990519,1283.4822653
86,0.0,7.0,235.0,0.0,74.0,17.0,0.0,0.0,32.0,11.0,0.0,1441.0,0.0,1018.0,840.0,0.0,8.6544838,37.2496838,0.0,64.1752,21.74324,0.0,0.3870738,44.6994,18.00504,0.0,1056.79,0.0,1060.1441398,1298.0108389
87,0.0,9.0,239.0,0.0,61.0,17.0,0.0,0.0,40.0,15.0,0.0,1422.0,0.0,1025.0,852.0,0.0,8.6666408,37.3205408,0.0,64.1725,21.77062,0.0,0.3876508,44.923,18.09645,0.0,1047.74,0.0,1060.1852238,1312.4894108
88,0.0,7.0,241.0,0.0,69.0,14.0,0.0,0.0,39.0,9.0,0.0,1411.0,0.0,1031.0,863.0,0.0,8.6785253,37.3898253,0.0,64.1699,21.79568,0.0,0.3882153,45.1431,18.18621,0.0,1038.72,0.0,1060.2256943,1326.9161509
89,0.0,7.0,249.0,0.0,69.0,19.0,0.0,0.0,30.0,14.0,0.0,1391.0,0.0,1026.0,876.0,0.0,8.6901682,37.4575682,0.0,64.1675,21.81846,0.0,0.3887682,45.3595,18.27435,0.0,1029.74,0.0,1060.2631712,1341.2898591
90,0.0,5.0,249.0,0.0,64.0,18.0,0.0,0.0,31.0,10.0,0.0,1387.0,0.0,1025.0,890.0,0.0,8.7015586,37.5238586,0.0,64.1651,21.83904,0.0,0.3893086,45.5727,18.36074,0.0,1020.8,0.0,1060.3002646,1355.6078252
91,0.0,12.0,248.0,0.0,70.0,16.0,0.0,0.0,44.0,6.0,0.0,1368.0,0.0,1044.0,904.0,0.0,8.7127077,37.5885077,0.0,64.1628,21.85763,0.0,0.3898377,45.7823,18.4456,0.0,1011.9,0.0,1060.3344647,1369.8686293
92,0.0,2.0,238.0,0.0,60.0,15.0,0.0,0.0,44.0,9.0,0.0,1349.0,0.0,1057.0,928.0,0.0,8.7236155,37.6518155,0.0,64.1606,21.87412,0.0,0.3903555,45.9887,18.52894,0.0,1003.03,0.0,1060.3670915,1384.0707612
93,0.0,5.0,245.0,0.0,65.0,19.0,0.0,0.0,34.0,8.0,0.0,1334.0,0.0,1076.0,937.0,0.0,8.7343022,37.7137022,0.0,64.1584,21.88863,0.0,0.3908622,46.1917,18.61064,0.0,994.21,0.0,1060.3982452,1398.2108109
94,0.0,4.0,246.0,0.0,67.0,15.0,0.0,0.0,43.0,13.0,0.0,1329.0,0.0,1078.0,946.0,0.0,8.7447577,37.7742577,0.0,64.1563,21.90123,0.0,0.3913577,46.3915,18.69093,0.0,985.425,0.0,1060.4277457,1412.2889682
95,0.0,7.0,243.0,0.0,72.0,17.0,0.0,0.0,43.0,11.0,0.0,1313.0,0.0,1082.0,964.0,0.0,8.7549932,37.8333932,0.0,64.1543,21.91203,0.0,0.3918432,46.5881,18.76969,0.0,976.682,0.0,1060.4567732,1426.3042231
96,0.0,9.0,239.0,0.0,63.0,18.0,0.0,0.0,41.0,9.0,0.0,1278.0,0.0,1119.0,982.0,0.0,8.7650177,37.8913177,0.0,64.1523,21.921,0.0,0.3923177,46.7816,18.84692,0.0,967.981,0.0,1060.4832577,1440.2535655
97,0.0,6.0,234.0,0.0,71.0,16.0,0.0,0.0,37.0,6.0,0.0,1266.0,0.0,1120.0,993.0,0.0,8.7748324,37.9478324,0.0,64.1504,21.92828,0.0,0.3927824,46.9718,18.92285,0.0,959.323,0.0,1060.5092994,1454.1368854
98,0.0,8.0,236.0,0.0,55.0,17.0,0.0,0.0,47.0,12.0,0.0,1245.0,0.0,1137.0,1002.0,0.0,8.7844383,38.0032383,0.0,64.1485,21.9339,0.0,0.3932383,47.1592,18.99735,0.0,950.708,0.0,1060.5350283,1467.9515826
